name,mean,var,seed
Alabama Crimson Tide,18.63,0.967,1
Houston Cougars,18.23,0.841,1
UCLA Bruins,17.80,0.653,2
Tennessee Volunteers,16.19,0.982,4
Connecticut Huskies,16.02,0.860,4
Gonzaga Bulldogs,15.94,0.717,3
Texas Longhorns,15.84,0.924,2
Purdue Boilermakers,15.54,0.067,1
Arizona Wildcats,15.53,0.729,2
Kansas Jayhawks,15.34,0.563,1
Saint Mary's (CA) Gaels,14.36,0.311,5
Marquette Golden Eagles,13.80,0.257,2
Creighton Bluejays,13.51,0.510,6
San Diego State Aztecs,13.32,0.215,5
Baylor Bears,13.12,0.968,3
Utah State Aggies,12.97,0.298,10
Xavier Musketeers,12.87,0.152,3
Arkansas Razorbacks,12.70,0.635,8
West Virginia Mountaineers,12.50,0.656,9
Florida Atlantic Owls,12.26,0.193,9
Memphis Tigers,12.23,0.013,8
Kansas State Wildcats,11.99,0.561,3
Iowa State Cyclones,11.83,0.953,6
Duke Blue Devils,11.69,0.978,5
Auburn Tigers,11.66,0.268,9
Texas Christian Horned Frogs,11.65,0.897,6
Texas A&M Aggies,11.59,0.837,7
Maryland Terrapins,11.56,0.964,8
Indiana Hoosiers,11.56,0.977,4
Boise State Broncos,11.36,0.542,10
Kentucky Wildcats,11.20,0.961,6
Illinois Fighting Illini,11.00,0.969,9
Rutgers Scarlet Knights,10.51,0.955,
Michigan State Spartans,10.44,0.161,7
Virginia Cavaliers,10.42,0.236,4
Iowa Hawkeyes,10.41,0.878,8
Southern California Trojans,10.13,0.179,10
Northwestern Wildcats,9.98,0.905,7
North Carolina Tar Heels,9.96,0.139,
Oklahoma State Cowboys,9.83,0.419,
Nevada Wolf Pack,9.71,0.178,11
Miami (FL) Hurricanes,9.67,0.152,5
New Mexico Lobos,9.66,0.136,
Providence Friars,9.66,0.537,11
Oregon Ducks,9.57,0.905,
Penn State Nittany Lions,9.53,0.628,10
Michigan Wolverines,9.29,0.620,
Ohio State Buckeyes,9.23,0.945,
North Carolina State Wolfpack,9.21,0.746,11
Mississippi State Bulldogs,9.20,0.832,11
Oral Roberts Golden Eagles,9.20,0.994,12
Cincinnati Bearcats,9.09,0.806,
Alabama-Birmingham Blazers,8.95,0.431,
North Texas Mean Green,8.95,0.365,
Liberty Flames,8.89,0.906,
Missouri Tigers,8.89,0.911,7
Texas Tech Red Raiders,8.81,0.999,
Colorado Buffaloes,8.59,0.491,
Virginia Commonwealth Rams,8.58,0.237,12
Florida Gators,8.52,0.988,
Oklahoma Sooners,8.50,0.630,
Arizona State Sun Devils,8.31,0.736,11
Kent State Golden Flashes,8.29,0.192,13
Washington State Cougars,8.29,0.762,
Clemson Tigers,8.20,0.204,
Central Florida Knights,8.09,0.406,
College of Charleston Cougars,8.07,0.199,12
Sam Houston State Bearkats,8.07,0.848,
Yale Elis Bulldogs,8.05,0.800,
Iona Gaels,8.02,0.728,13
Utah Utes,7.89,0.916,
Villanova Wildcats,7.77,0.068,
Drake Bulldogs,7.76,0.483,12
Seton Hall Pirates,7.64,0.972,
Pittsburgh Panthers,7.48,0.850,11
Marshall Thundering Herd,7.47,0.304,
Wisconsin Badgers,7.41,0.101,
Brigham Young Cougars,7.40,0.211,
Utah Valley Wolverines,7.39,0.231,
Dayton Flyers,7.13,0.766,
Santa Clara Broncos,7.04,0.169,
Vanderbilt Commodores,6.89,0.935,
Virginia Tech Hokies,6.70,0.396,
Bradley Braves,6.31,0.990,
Nevada-Las Vegas Rebels,6.23,0.078,
Toledo Rockets,6.21,0.350,
Stanford Cardinal,6.17,0.952,
St. John's (NY) Red Storm,6.01,0.806,
Wake Forest Demon Deacons,5.80,0.380,
Furman Paladins,5.63,0.342,13
Hofstra Pride,5.32,0.650,
San Jose State Spartans,5.30,0.919,
Southern Mississippi Golden Eagles,5.24,0.409,
California-Irvine Anteaters,5.23,0.253,
Indiana State Sycamores,5.21,0.658,
Louisiana-Lafayette Ragin' Cajuns,5.20,0.110,13
James Madison Dukes,5.09,0.876,
Saint Louis Billikens,4.79,0.423,
Nebraska Cornhuskers,4.77,0.787,
San Francisco Dons,4.61,0.678,
Tulane Green Wave,4.44,0.287,
California-Santa Barbara Gauchos,4.43,0.033,14
Wichita State Shockers,4.34,0.132,
Akron Zips,4.34,0.779,
Washington Huskies,4.33,0.691,
Loyola Marymount Lions,4.32,0.424,
Colorado State Rams,4.24,0.942,
Grand Canyon Antelopes,4.24,0.300,14
South Alabama Jaguars,4.20,0.171,
Princeton Tigers,3.89,0.518,15
Southern Utah Thunderbirds,3.88,0.214,
Montana State Bobcats,3.62,0.577,14
Mississippi Rebels,3.61,0.446,
Charlotte 49ers,3.50,0.614,
Colgate Raiders,3.40,0.582,15
Vermont Catamounts,3.22,0.864,15
Syracuse Orange,3.15,0.484,
Temple Owls,3.14,0.046,
North Carolina-Greensboro Spartans,3.00,0.381,
Middle Tennessee Blue Raiders,3.00,0.575,
Youngstown State Penguins,2.87,0.230,
Duquesne Dukes,2.80,0.585,
Butler Bulldogs,2.73,1.000,
Belmont Bruins,2.71,0.194,
Cal State Fullerton Titans,2.69,0.365,
Troy Trojans,2.67,0.240,
Hawaii Warriors,2.67,0.071,
Kennesaw State Owls,2.51,0.475,14
Eastern Washington Eagles,2.39,0.379,
Ohio Bobcats,2.28,0.615,
Massachusetts-Lowell River Hawks,2.12,0.348,
Samford Bulldogs,2.06,0.345,
Stephen F. Austin Lumberjacks,2.05,0.075,
Southern Illinois Salukis,2.04,0.246,
Fresno State Bulldogs,2.03,0.104,
Seattle Redhawks,1.88,0.487,
Towson Tigers,1.84,0.084,
Fordham Rams,1.79,0.265,
California-Riverside Highlanders,1.79,0.138,
Cornell Big Red,1.69,0.189,
Davidson Wildcats,1.58,0.127,
Pennsylvania Quakers,1.56,0.837,
Louisiana State Fighting Tigers,1.50,0.687,
Air Force Falcons,1.48,0.740,
George Mason Patriots,1.22,0.416,
Missouri State Bears,1.19,0.371,
Georgia Bulldogs,1.05,0.552,
North Carolina-Asheville Bulldogs,0.99,0.274,15
Portland Pilots,0.99,0.997,
Wyoming Cowboys,0.94,0.390,
California-Davis Aggies,0.90,0.177,
DePaul Blue Demons,0.84,0.441,
South Florida Bulls,0.79,0.113,
Utah Tech Trailblazers,0.70,0.546,
Richmond Spiders,0.65,0.717,
Lipscomb Bisons,0.59,0.302,
Long Beach State Forty Niners,0.57,0.335,
California Baptist Lancers,0.50,0.207,
Ball State Cardinals,0.48,0.240,
North Carolina-Wilmington Seahawks,0.47,0.865,
Louisiana Tech Bulldogs,0.41,0.254,
Montana Grizzlies,0.37,0.551,
Tarleton State Texans,0.36,0.528,
Georgia Tech Yellow Jackets,0.29,0.916,
Old Dominion Monarchs,0.21,0.043,
South Dakota State Jackrabbits,0.16,0.710,
Harvard Crimson,0.12,0.293,
Stetson Hatters,-0.04,0.866,
Northern Kentucky Norse,-0.06,0.488,16
Notre Dame Fighting Irish,-0.08,0.164,
Longwood Lancers,-0.10,0.719,
Texas A&M-Corpus Christi Islanders,-0.14,0.964,16
Florida Gulf Coast Eagles,-0.38,0.738,
Western Kentucky Hilltoppers,-0.38,0.091,
Cleveland State Vikings,-0.39,0.477,
Eastern Kentucky Colonels,-0.40,0.320,
Radford Highlanders,-0.41,0.027,
Grambling Tigers,-0.44,0.921,
North Carolina Central Eagles,-0.46,0.038,
Boston College Eagles,-0.48,0.250,
Norfolk State Spartans,-0.54,0.956,
New Mexico State Aggies,-0.56,0.387,
Appalachian State Mountaineers,-0.58,0.059,
Quinnipiac Bobcats,-0.60,0.030,
Pepperdine Waves,-0.64,0.959,
East Carolina Pirates,-0.69,0.295,
Chattanooga Mocs,-0.74,0.359,
Navy Midshipmen,-0.75,0.366,
Texas-El Paso Miners,-0.78,0.166,
Pacific Tigers,-0.78,0.145,
Wright State Raiders,-0.96,0.683,
Brown Bears,-0.99,0.068,
Southern Methodist Mustangs,-0.99,0.716,
Saint Joseph's Hawks,-1.04,0.675,
Weber State Wildcats,-1.13,0.703,
St. Thomas Tommies,-1.16,0.786,
Texas State Bobcats,-1.17,0.024,
Detroit Mercy Titans,-1.27,0.828,
St. Bonaventure Bonnies,-1.29,0.234,
Drexel Dragons,-1.42,0.607,
Massachusetts Minutemen,-1.50,0.384,
Abilene Christian Wildcats,-1.55,0.569,
Bryant Bulldogs,-1.60,0.769,
Queens (NC) Royals,-1.61,0.048,
Gardner-Webb Runnin Bulldogs,-1.66,0.082,
Rider Broncs,-1.73,0.239,
Oregon State Beavers,-1.77,0.513,
Siena Saints,-1.78,0.036,
Northwestern State Demons,-1.85,0.749,
Rice Owls,-1.86,0.916,
